name,address,latitude,longitude
The Crane Bar,"2 Sea Rd, Galway, H91 YP97",53.27000519,-9.06054652
The Quays Bar and Restaurant,"Quay Ln, Galway",53.27127683,-9.05398869
Roisin Dubh,"8 Dominick St Upper, Galway, H91 N4AP",53.27028109,-9.05823982
Seven Bridgestreet,"5-7 Bridge St, Galway, H91 A588",53.27196819,-9.055119987
The Front Door Pub,"8 Cross Street Upper, Galway, H91 YY06",53.27186553,-9.05407929
Caribou,"31, 30 Woodquay, Galway, H91 T6NH",53.27566244,-9.052451961
The Salt House,"Raven Terrace, Galway",53.26999343,-9.056997479
Carroll's on Dominick Street,"39 Dominick St Lower, Galway, H91 RX83",53.27079546,-9.057308615
Thirteen on the Green,"13 Eyre Square, Galway, H91 N6PF",53.27432644,-9.047894397
The Sliding Rock,"37 Newcastle Rd, Galway, H91 W42F",53.27571487,-9.063135545
